keyword,searches,results,search_result_ratio,source_type,source_id,captured_at,confidence,notes
mothers day gift,739000,1400000,0.5278571429,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
fathers day gift,447000,747300,0.5981533521,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
wall art,407000,3100000,0.1312903226,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
home decor,246000,6800000,0.03617647059,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
earrings,201600,3200000,0.063,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
rings,187800,2700000,0.06955555556,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
graduation gifts,183600,1100000,0.1669090909,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
badge reel,173700,261600,0.6639908257,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
wedding,172300,7700000,0.02237662338,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
graduation gift,167500,864900,0.1936640074,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
teacher gift,150600,657900,0.2289101687,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,high,broad seed only; validate in eRank and EverBee
wall decor,145500,7500000,0.0194,youtube_screenshot,screenshot_225155,2026-05-23 22:51:55,medium,partly obscured by video overlay; verify exact ratio
digital prints,92900,5100000,0.01821568627,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
vintage,90600,16100000,0.005627329193,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
personalized gift,89400,3400000,0.02629411765,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
birthday gift,84700,3600000,0.02352777778,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
necklaces,83200,2300000,0.03617391304,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
teacher appreciation gift,82700,657000,0.1258751903,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
engagement rings,82300,1400000,0.05878571429,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
bridesmaid gifts,82000,925700,0.08858161391,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
fathers day gifts,80900,1100000,0.07354545455,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
